,real_value,validation_predictions,abs_diff,precision_up_to_0_degrees,precision_up_to_1_degrees,precision_up_to_2_degrees,precision_up_to_3_degrees
508,25,25.000000000000185,0.0,1,1,1,1
509,24,24.000000000000114,0.0,1,1,1,1
510,27,27.000000000000178,0.0,1,1,1,1
511,28,28.00000000000017,0.0,1,1,1,1
512,27,27.000000000000313,0.0,1,1,1,1
513,21,21.00000000000007,0.0,1,1,1,1
514,21,21.000000000000036,0.0,1,1,1,1
515,25,25.00000000000005,0.0,1,1,1,1
516,23,23.000000000000135,0.0,1,1,1,1
517,23,23.000000000000178,0.0,1,1,1,1
518,26,26.000000000000362,0.0,1,1,1,1
519,24,24.000000000000334,0.0,1,1,1,1
520,26,26.000000000000504,0.0,1,1,1,1
521,25,25.000000000000092,0.0,1,1,1,1
522,26,26.000000000000107,0.0,1,1,1,1
523,25,25.000000000000156,0.0,1,1,1,1
524,24,24.00000000000015,0.0,1,1,1,1
525,26,26.000000000000114,0.0,1,1,1,1
526,26,26.000000000000092,0.0,1,1,1,1
527,26,26.00000000000007,0.0,1,1,1,1
528,27,27.00000000000007,0.0,1,1,1,1
529,27,27.0000000000001,0.0,1,1,1,1
530,27,27.000000000000085,0.0,1,1,1,1
531,28,28.0000000000001,0.0,1,1,1,1
532,29,29.00000000000012,0.0,1,1,1,1
533,28,28.000000000000107,0.0,1,1,1,1
534,29,29.000000000000092,0.0,1,1,1,1
535,29,29.000000000000092,0.0,1,1,1,1
536,29,29.000000000000107,0.0,1,1,1,1
537,26,26.000000000000107,0.0,1,1,1,1
538,28,28.000000000000092,0.0,1,1,1,1
539,26,26.00000000000012,0.0,1,1,1,1
540,27,27.000000000000227,0.0,1,1,1,1
541,28,28.000000000000185,0.0,1,1,1,1
542,26,26.000000000000313,0.0,1,1,1,1
543,26,26.000000000000313,0.0,1,1,1,1
544,26,26.000000000000085,0.0,1,1,1,1
545,27,27.000000000000213,0.0,1,1,1,1
546,29,29.00000000000015,0.0,1,1,1,1
547,28,28.000000000000192,0.0,1,1,1,1
548,28,28.00000000000012,0.0,1,1,1,1
549,29,29.000000000000114,0.0,1,1,1,1
550,28,28.000000000000128,0.0,1,1,1,1
551,28,28.0000000000001,0.0,1,1,1,1
552,29,29.000000000000114,0.0,1,1,1,1
553,29,29.000000000000092,0.0,1,1,1,1
554,27,27.000000000000135,0.0,1,1,1,1
555,27,27.000000000000135,0.0,1,1,1,1
556,29,29.000000000000192,0.0,1,1,1,1
557,29,29.000000000000206,0.0,1,1,1,1
558,29,29.000000000000178,0.0,1,1,1,1
559,29,29.000000000000156,0.0,1,1,1,1
560,29,29.0000000000001,0.0,1,1,1,1
561,29,29.000000000000085,0.0,1,1,1,1
562,29,29.000000000000092,0.0,1,1,1,1
563,29,29.000000000000092,0.0,1,1,1,1
564,28,28.000000000000114,0.0,1,1,1,1
