,real_value,validation_predictions,abs_diff,precision_up_to_0_degrees,precision_up_to_1_degrees,precision_up_to_2_degrees,precision_up_to_3_degrees
5937,29.0,29.0000000000001,0.0,1,1,1,1
5938,28.0,28.000000000000057,0.0,1,1,1,1
5939,28.0,28.000000000000064,0.0,1,1,1,1
5940,28.0,28.0000000000001,0.0,1,1,1,1
5941,29.0,29.0000000000001,0.0,1,1,1,1
5942,27.0,27.0000000000001,0.0,1,1,1,1
5943,28.0,28.000000000000114,0.0,1,1,1,1
5944,28.0,28.0000000000001,0.0,1,1,1,1
5945,29.0,29.00000000000012,0.0,1,1,1,1
5946,29.0,29.000000000000092,0.0,1,1,1,1
5947,27.0,27.00000000000012,0.0,1,1,1,1
5948,26.0,26.000000000000064,0.0,1,1,1,1
